feature,atten_weight,importance_abs,importance_norm
NUM_PKTS_256_TO_512_BYTES,-2.4988015,2.4988015,0.0665806
RETRANSMITTED_IN_PKTS,-2.2831821,2.2831821,0.060835425
DURATION_IN,2.1525755,2.1525755,0.057355408
LONGEST_FLOW_PKT,-1.8950003,1.8950003,0.050492313
MIN_IP_PKT_LEN,1.7168243,1.7168243,0.04574481
DST_TO_SRC_AVG_THROUGHPUT,1.6868901,1.6868901,0.044947214
SRC_TO_DST_AVG_THROUGHPUT,1.6098666,1.6098666,0.042894922
MAX_TTL,1.4397985,1.4397985,0.038363453
DURATION_OUT,1.3928809,1.3928809,0.037113335
TCP_FLAGS,-1.3871132,1.3871132,0.03695965
DNS_QUERY_TYPE,1.3559688,1.3559688,0.03612981
MAX_IP_PKT_LEN,-1.2008923,1.2008923,0.031997796
NUM_PKTS_1024_TO_1514_BYTES,-1.1778263,1.1778263,0.031383198
TCP_WIN_MAX_IN,-1.079561,1.079561,0.028764918
DST_TO_SRC_SECOND_BYTES,-0.99735016,0.99735016,0.02657441
SHORTEST_FLOW_PKT,-0.99043894,0.99043894,0.02639026
L7_PROTO,-0.91654927,0.91654927,0.02442147
MIN_TTL,0.8843182,0.8843182,0.023562672
DNS_QUERY_ID,-0.84237486,0.84237486,0.022445092
CLIENT_TCP_FLAGS,0.8183647,0.8183647,0.02180534
DNS_TTL_ANSWER,-0.7834703,0.7834703,0.020875577
NUM_PKTS_128_TO_256_BYTES,-0.7772359,0.7772359,0.020709462
ICMP_IPV4_TYPE,-0.72820276,0.72820276,0.019402973
FTP_COMMAND_RET_CODE,-0.7063787,0.7063787,0.01882147
IN_PKTS,0.6691119,0.6691119,0.017828496
OUT_BYTES,-0.665172,0.665172,0.017723517
NUM_PKTS_512_TO_1024_BYTES,0.56928533,0.56928533,0.015168617
OUT_PKTS,-0.5517481,0.5517481,0.014701337
ICMP_TYPE,-0.49985296,0.49985296,0.01331859
RETRANSMITTED_IN_BYTES,-0.48302862,0.48302862,0.012870305
RETRANSMITTED_OUT_BYTES,-0.47303483,0.47303483,0.012604021
NUM_PKTS_UP_TO_128_BYTES,-0.4647741,0.4647741,0.012383913
IN_BYTES,-0.44367677,0.44367677,0.011821775
SRC_TO_DST_SECOND_BYTES,-0.37694675,0.37694675,0.010043751
PROTOCOL,-0.35802165,0.35802165,0.009539492
RETRANSMITTED_OUT_PKTS,-0.23994987,0.23994987,0.006393468
SERVER_TCP_FLAGS,0.17114882,0.17114882,0.004560263
FLOW_DURATION_MILLISECONDS,0.15456222,0.15456222,0.0041183126
TCP_WIN_MAX_OUT,0.0882902,0.0882902,0.0023524938
